bulbasaur,Grass,Poison,"For some time after its birth, it grows by gaining nourishment from the seed on its back."
ivysaur,Grass,Poison,"When the bud on its back starts swelling, a sweet aroma wafts to indicate the flowers coming bloom."
venusaur,Grass,Poison,"After a rainy day, the flower on its back smells stronger. The scent attracts other Pokemon."
charmander,Fire,,"The fire on the tip of its tail is a measure of its life. If healthy, its tail burns intensely."
charmeleon,Fire,,"In the rocky mountains where Charmeleon live, their fiery tails shine at night like stars."
charizard,Fire,Flying,It is said that Charizards fire burns hotter if it has experienced harsh battles.
squirtle,Water,,It shelters itself in its shell then strikes back with spouts of water at every opportunity.
wartortle,Water,,"It is said to live 10,000 years. Its furry tail is popular as a symbol of longevity."
blastoise,Water,,The jets of water it spouts from the rocket cannons on its shell can punch through thick steel.
caterpie,Bug,,It releases a stench from its red antenna to repel enemies. It grows by molting repeatedly.
metapod,Bug,,A steel-hard shell protects its tender body. It quietly endures hardships while awaiting evolution.
butterfree,Bug,Flying,It loves the honey of flowers and can locate flower patches that have even tiny amounts of pollen.
weedle,Bug,Poison,It eats its weight in leaves every day. It fends off attackers with the needle on its head.
kakuna,Bug,Poison,"While awaiting evolution, it hides from predators under leaves and in nooks of branches."
beedrill,Bug,Poison,"Its best attack involves flying around at high speed, striking with poison needles, then flying off."
pidgey,Normal,Flying,"It is docile and prefers to avoid conflict. If disturbed, however, it can ferociously strike back."
pidgeotto,Normal,Flying,"It flies over its wide territory in search of prey, downing it with its highly developed claws."
pidgeot,Normal,Flying,"It flies over its wide territory in search of prey, downing it with its highly developed claws."
rattata,Normal,,"It searches for food all day. It gnaws on hard objects to wear down its fangs, which grow constantly during its lifetime."
raticate,Normal,,"With its long fangs, this surprisingly violent Pokemon can gnaw away even thick concrete with ease."
spearow,Normal,Flying,"It flaps its small wings busily to fly. Using its beak, it searches in grass for prey."
fearow,Normal,Flying,It has the stamina to fly all day on its broad wings. It fights by using its sharp beak.
ekans,Poison,,It sneaks through grass without making a sound and strikes unsuspecting prey from behind.
arbok,Poison,,The pattern on its belly is for intimidation. It constricts foes while they are frozen in fear.
pikachu,Electric,,It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.
raichu,Electric,,"Its tail discharges electricity into the ground, protecting it from getting shocked."
sandshrew,Ground,,"It digs deep burrows to live in. When in danger, it rolls up its body to withstand attacks."
sandslash,Ground,,The spikes on its body are made up of its hardened hide. It rolls up and attacks foes with its spikes.
nidoran-f,Poison,,"While it does not prefer to fight, even one drop of the poison it secretes from barbs can be fatal."
nidorina,Poison,,"When it senses danger, it raises all the barbs on its body. These barbs grow slower than Nidorinos."
nidoqueen,Poison,Ground,Its entire body is armored with hard scales. It will protect the young in its burrow with its life.
nidoran-m,Poison,,It scans its surroundings by raising its ears out of the grass. Its toxic horn is for protection.
nidorino,Poison,,"It has a violent disposition and stabs foes with its horn, which oozes poison upon impact."
nidoking,Poison,Ground,One swing of its mighty tail can snap a telephone pole as if it were a matchstick.
clefairy,Fairy,,"On nights with a full moon, Clefairy gather from all over and dance. Bathing in moonlight makes them float."
clefable,Fairy,,"Their ears are sensitive enough to hear a pin drop from over a mile away, so theyre usually found in quiet places."
vulpix,Fire,,"As each tail grows, its fur becomes more lustrous. When held, it feels slightly warm."
ninetales,Fire,,"Each of its nine tails is imbued with supernatural power, and it can live for a thousand years."
jigglypuff,Normal,Fairy,"Looking into its cute, round eyes makes it start singing a song so pleasant listeners cant help but fall asleep."
wigglytuff,Normal,Fairy,"Its fine fur feels so pleasant, those who accidentally touch it cannot take their hands away."
zubat,Poison,Flying,"It does not need eyes, because it emits ultrasonic waves to check its surroundings while it flies."
golbat,Poison,Flying,"Flitting around in the dead of night, it sinks its fangs into its prey and drains a nearly fatal amount of blood."
oddish,Grass,Poison,It often plants its root feet in the ground during the day and sows seeds as it walks about at night.
gloom,Grass,Poison,"The honey it drools from its mouth smells so atrocious, it can curl noses more than a mile away."
vileplume,Grass,Poison,"Its petals are the largest in the world. As it walks, it scatters extremely allergenic pollen."
paras,Bug,Grass,Mushrooms named tochukaso grow on its back. They grow along with the host Paras.
parasect,Bug,Grass,A mushroom grown larger than the hosts body controls Parasect. It scatters poisonous spores.
venonat,Bug,Poison,"Its big eyes are actually clusters of tiny eyes. At night, its kind is drawn by light."
venomoth,Bug,Poison,It flutters its wings to scatter dustlike scales. The scales leach toxins if they contact skin.
diglett,Ground,,"A Pokemon that lives underground. Because of its dark habitat, it is repelled by bright sunlight."
dugtrio,Ground,,"Its three heads move alternately, driving it through tough soil to depths of over 60 miles."
meowth,Normal,,"It is nocturnal in nature. If it spots something shiny, its eyes glitter brightly."
persian,Normal,,"A very haughty Pokemon. Among fans, the size of the jewel in its forehead is a topic of much talk."
psyduck,Water,,"When headaches stimulate its brain cells, which are usually inactive, it can use a mysterious power."
golduck,Water,,"When its forehead shines mysteriously, Golduck can use the full extent of its power."
mankey,Fighting,,"It lives in treetop colonies. If one becomes enraged, the whole colony rampages for no reason."
primeape,Fighting,,"It grows angry if you see its eyes and gets angrier if you run. If you beat it, it gets even madder."
growlithe,Fire,,"Extremely loyal to its Trainer, it will bark at those who approach the Trainer unexpectedly and run them out of town."
arcanine,Fire,,"The sight of it running over 6,200 miles in a single day and night has captivated many people."
poliwag,Water,,"Its skin is so thin, its internal organs are visible. It has trouble walking on its newly grown feet."
poliwhirl,Water,,The spiral pattern on its belly subtly undulates. Staring at it gradually causes drowsiness.
poliwrath,Water,Fighting,"With its extremely tough muscles, it can keep swimming in the Pacific Ocean without resting."
abra,Psychic,,Using its psychic power is such a strain on its brain that it needs to sleep for 18 hours a day.
kadabra,Psychic,,It stares at its silver spoon to focus its mind. It emits more alpha waves while doing so.
alakazam,Psychic,,The spoons clutched in its hands are said to have been created by its psychic powers.
machop,Fighting,,"Though small in stature, it is powerful enough to easily heft and throw a number of Geodude at once."
machoke,Fighting,,It happily carries heavy cargo to toughen up. It willingly does hard work for people.
machamp,Fighting,,Its four muscled arms slam foes with powerful punches and chops at blinding speed.
bellsprout,Grass,Poison,It prefers hot and humid environments. It is quick at capturing prey with its vines.
weepinbell,Grass,Poison,A Pokemon that appears to be a plant. It captures unwary prey by dousing them with a toxic powder.
victreebel,Grass,Poison,"It pools in its mouth a fluid with a honey-like scent, which is really an acid that dissolves anything."
tentacool,Water,Poison,"Because its body is almost entirely composed of water, it shrivels up if it is washed ashore."
tentacruel,Water,Poison,It extends its 80 tentacles to form an encircling poisonous net that is difficult to escape.
geodude,Rock,Ground,"At rest, it looks just like a rock. Carelessly stepping on it will make it swing its fists angrily."
graveler,Rock,Ground,"It rolls on mountain paths to move. Once it builds momentum, no Pokemon can stop it without difficulty."
golem,Rock,Ground,"Even dynamite cant harm its hard, boulder-like body. It sheds its hide just once a year."
ponyta,Fire,,"As a newborn, it can barely stand. However, through galloping, its legs are made tougher and faster."
rapidash,Fire,,"When at an all-out gallop, its blazing mane sparkles, enhancing its beautiful appearance."
slowpoke,Water,Psychic,"Although slow, it is skilled at fishing with its tail. It does not feel pain if its tail is bitten."
slowbro,Water,Psychic,"Though usually dim witted, it seems to become inspired if the Shellder on its tail bites down."
magnemite,Electric,Steel,"The electromagnetic waves emitted by the units at the sides of its head expel antigravity, which allows it to float."
magneton,Electric,Steel,The stronger electromagnetic waves from the three linked Magnemite are enough to dry out surrounding moisture.
farfetchd,Normal,Flying,It cant live without the stalk it holds. Thats why it defends the stalk from attackers with its life.
doduo,Normal,Flying,The brains in its two heads appear to communicate emotions to each other with a telepathic power.
dodrio,Normal,Flying,"When Doduo evolves into this odd breed, one of its heads splits into two. It runs at nearly 40 mph."
seel,Water,,"The colder it gets, the better it feels. It joyfully swims around oceans so cold that they are filled with floating ice."
dewgong,Water,Ice,"Its streamlined body has low resistance, and it swims around cold oceans at a speed of eight knots."
grimer,Poison,,"Born from sludge, these Pokemon now gather in polluted places and increase the bacteria in their bodies."
muk,Poison,,"Its so stinky! Muks body contains toxic elements, and any plant will wilt when it passes by."
shellder,Water,,It swims backward by opening and closing its two shells. Its large tongue is always kept hanging out.
cloyster,Water,Ice,It fights by keeping its shell tightly shut for protection and by shooting spikes to repel foes.
gastly,Ghost,Poison,"Born from gases, anyone would faint if engulfed by its gaseous body, which contains poison."
haunter,Ghost,Poison,It likes to lurk in the dark and tap shoulders with a gaseous hand. Its touch causes endless shuddering.
gengar,Ghost,Poison,The leer that floats in darkness belongs to a Gengar delighting in casting curses on people.
onix,Rock,Ground,"Opening its large mouth, it ingests massive amounts of soil and creates long tunnels."
drowzee,Psychic,,It can tell what people are dreaming by sniffing with its big nose. It loves fun dreams.
hypno,Psychic,,"Seeing its swinging pendulum can induce sleep in three seconds, even in someone who just woke up."
krabby,Water,,It lives in burrows dug on sandy beaches. Its pincers fully grow back if they are broken in battle.
kingler,Water,,"The larger pincer has 10,000- horsepower strength. However, it is so heavy, it is difficult to aim."
voltorb,Electric,,It looks just like a Pok Ball. It is dangerous because it may electrocute or explode on contact.
electrode,Electric,,It is known to drift on winds if it is bloated to bursting with stored electricity.
exeggcute,Grass,Psychic,Its six eggs converse using telepathy. They can quickly gather if they become separated.
exeggutor,Grass,Psychic,"It is called The Walking Jungle. If a head grows too big, it falls off and becomes an Exeggcute."
cubone,Ground,,"When it thinks of its dead mother, it cries. Its crying makes the skull it wears rattle hollowly."
marowak,Ground,,"From its birth, this savage Pokemon constantly holds bones. It is skilled in using them as weapons."
hitmonlee,Fighting,,Its legs can stretch double. First-time foes are startled by its extensible reach.
hitmonchan,Fighting,,The arm-twisting punches it throws pulverize even concrete. It rests after three minutes of fighting.
lickitung,Normal,,"Being licked by its long, saliva-covered tongue leaves a tingling sensation. Extending its tongue retracts its tail."
koffing,Poison,,"Toxic gas is held within its thin, balloon-shaped body, so it can cause massive explosions."
weezing,Poison,,Inhaling toxic fumes from trash and mixing them inside its body lets it spread an even fouler stench.
rhyhorn,Ground,Rock,"Its powerful tackles can destroy anything. However, it is too slow witted to help people work."
rhydon,Ground,Rock,"Standing on its hind legs freed its forelegs and made it smarter. It is very forgetful, however."
chansey,Normal,,A kindly Pokemon that lays highly nutritious eggs and shares them with injured Pokmon or people.
tangela,Grass,,"Many writhing vines cover it, so its true identity remains unknown. The blue vines grow its whole life long."
kangaskhan,Normal,,It raises its offspring in its belly pouch. It lets the baby out to play only when it feels safe.
horsea,Water,,"It makes its nest in the shade of corals. If it senses danger, it spits murky ink and flees."
seadra,Water,,Its spines provide protection. Its fins and bones are prized as traditional-medicine ingredients.
goldeen,Water,,"Though it appears very elegant when swimming with fins unfurled, it can jab powerfully with its horn."
seaking,Water,,"In autumn, its body becomes more fatty in preparing to propose to a mate. It takes on beautiful colors."
staryu,Water,,"As long as its red core remains, it can regenerate its body instantly, even if its torn apart."
starmie,Water,Psychic,Its core shines in many colors and sends radio signals into space to communicate with something.
mr-mime,Psychic,Fairy,It shapes an invisible wall in midair by minutely vibrating its fingertips to stop molecules in the air.
scyther,Bug,Flying,The sharp scythes on its forearms become increasingly sharp by cutting through hard objects.
jynx,Ice,Psychic,"Its cries sound like human speech. However, it is impossible to tell what it is trying to say."
electabuzz,Electric,,Research is progressing on storing lightning in Electabuzz so this energy can be used at any time.
magmar,Fire,,"The scorching fire exhaled by Magmar forms heat waves around its body, making it hard to see the Pokemon clearly."
pinsir,Bug,,It grips prey with its powerful pincers and will not let go until the prey is torn in half.
tauros,Normal,,"Once it takes aim at its foe, it makes a headlong charge. It is famous for its violent nature."
magikarp,Water,,"A Magikarp living for many years can leap a mountain using Splash. The move remains useless, though."
gyarados,Water,Flying,"Once it begins to rampage, a Gyarados will burn everything down, even in a harsh storm."
lapras,Water,Ice,"Able to understand human speech and very intelligent, it loves to swim in the sea with people on its back."
ditto,Normal,,"It can reconstitute its entire cellular structure to change into what it sees, but it returns to normal when it relaxes."
eevee,Normal,,"Thanks to its unstable genetic makeup, this special Pokemon conceals many different possible evolutions."
vaporeon,Water,,"Its cell composition is similar to water molecules. As a result, it cant be seen when it melts away into water."
jolteon,Electric,,"By storing electricity in its body, it can shoot its bristlelike fur like a barrage of missiles."
flareon,Fire,,"Inhaled air is carried to its flame sac, heated, and exhaled as fire that reaches over 3,000 degrees F."
porygon,Normal,,A man-made Pokemon created using advanced scientific means. It can move freely in cyberspace.
omanyte,Rock,Water,A Pokemon that was resurrected from a fossil using modern science. It swam in ancient seas.
omastar,Rock,Water,It is thought that this Pokemon became extinct because its spiral shell grew too large.
kabuto,Rock,Water,It is thought to have inhabited beaches 300 million years ago. It is protected by a stiff shell.
kabutops,Rock,Water,It is thought that this Pokemon came onto land because its prey adapted to life on land.
aerodactyl,Rock,Flying,A Pokemon that roamed the skies in the dinosaur era. Its teeth are like saw blades.
snorlax,Normal,,"When its belly is full, it becomes too lethargic to even lift a finger, so it is safe to bounce on its belly."
articuno,Ice,Flying,A legendary bird Pokemon. It can create blizzards by freezing moisture in the air.
zapdos,Electric,Flying,A legendary Pokemon that is said to live in thunderclouds. It freely controls lightning bolts.
moltres,Fire,Flying,One of the legendary bird Pokemon. It is said that its appearance indicates the coming of spring.
dratini,Dragon,,It is called the Mirage Pokemon because so few have seen it. Its shed skin has been found.
dragonair,Dragon,,"If its body takes on an aura, the weather changes instantly. It is said to live in seas and lakes."
dragonite,Dragon,Flying,It is said to make its home somewhere in the sea. It guides crews of shipwrecks to shore.
mewtwo,Psychic,,A Pokemon created by recombining Mews genes. Its said to have the most savage heart among Pokmon.
mew,Psychic,,"Mew is said to possess the genetic composition of all Pokemon. It is capable of making itself invisible at will, so it entirely avoids notice even if it approaches people."
chikorita,Grass,,Description not available yet
bayleef,Grass,,Description not available yet
meganium,Grass,,Description not available yet
cyndaquil,Fire,,Description not available yet
quilava,Fire,,Description not available yet
typhlosion,Fire,,Description not available yet
totodile,Water,,Description not available yet
croconaw,Water,,Description not available yet
feraligatr,Water,,Description not available yet
sentret,Normal,,Description not available yet
furret,Normal,,Description not available yet
hoothoot,Normal,Flying,Description not available yet
noctowl,Normal,Flying,Description not available yet
ledyba,Bug,Flying,Description not available yet
ledian,Bug,Flying,Description not available yet
spinarak,Bug,Poison,Description not available yet
ariados,Bug,Poison,Description not available yet
crobat,Poison,Flying,Description not available yet
chinchou,Water,Electric,Description not available yet
lanturn,Water,Electric,Description not available yet
pichu,Electric,,Description not available yet
cleffa,Fairy,,Description not available yet
igglybuff,Normal,Fairy,Description not available yet
togepi,Fairy,,Description not available yet
togetic,Fairy,Flying,Description not available yet
natu,Psychic,Flying,Description not available yet
xatu,Psychic,Flying,Description not available yet
mareep,Electric,,Description not available yet
flaaffy,Electric,,Description not available yet
ampharos,Electric,,Description not available yet
bellossom,Grass,,Description not available yet
marill,Water,Fairy,Description not available yet
azumarill,Water,Fairy,Description not available yet
sudowoodo,Rock,,Description not available yet
politoed,Water,,Description not available yet
hoppip,Grass,Flying,Description not available yet
skiploom,Grass,Flying,Description not available yet
jumpluff,Grass,Flying,Description not available yet
aipom,Normal,,Description not available yet
sunkern,Grass,,Description not available yet
sunflora,Grass,,Description not available yet
yanma,Bug,Flying,Description not available yet
wooper,Water,Ground,Description not available yet
quagsire,Water,Ground,Description not available yet
espeon,Psychic,,Description not available yet
umbreon,Dark,,Description not available yet
murkrow,Dark,Flying,Description not available yet
slowking,Water,Psychic,Description not available yet
misdreavus,Ghost,,Description not available yet
unown,Psychic,,Description not available yet
wobbuffet,Psychic,,Description not available yet
girafarig,Normal,Psychic,Description not available yet
pineco,Bug,,Description not available yet
forretress,Bug,Steel,Description not available yet
dunsparce,Normal,,Description not available yet
gligar,Ground,Flying,Description not available yet
steelix,Steel,Ground,Description not available yet
snubbull,Fairy,,Description not available yet
granbull,Fairy,,Description not available yet
qwilfish,Water,Poison,Description not available yet
scizor,Bug,Steel,Description not available yet
shuckle,Bug,Rock,Description not available yet
heracross,Bug,Fighting,Description not available yet
sneasel,Dark,Ice,Description not available yet
teddiursa,Normal,,Description not available yet
ursaring,Normal,,Description not available yet
slugma,Fire,,Description not available yet
magcargo,Fire,Rock,Description not available yet
swinub,Ice,Ground,Description not available yet
piloswine,Ice,Ground,Description not available yet
corsola,Water,Rock,Description not available yet
remoraid,Water,,Description not available yet
octillery,Water,,Description not available yet
delibird,Ice,Flying,Description not available yet
mantine,Water,Flying,Description not available yet
skarmory,Steel,Flying,Description not available yet
houndour,Dark,Fire,Description not available yet
houndoom,Dark,Fire,Description not available yet
kingdra,Water,Dragon,Description not available yet
phanpy,Ground,,Description not available yet
donphan,Ground,,Description not available yet
porygon2,Normal,,Description not available yet
stantler,Normal,,Description not available yet
smeargle,Normal,,Description not available yet
tyrogue,Fighting,,Description not available yet
hitmontop,Fighting,,Description not available yet
smoochum,Ice,Psychic,Description not available yet
elekid,Electric,,Description not available yet
magby,Fire,,Description not available yet
miltank,Normal,,Description not available yet
blissey,Normal,,Description not available yet
raikou,Electric,,Description not available yet
entei,Fire,,Description not available yet
suicune,Water,,Description not available yet
larvitar,Rock,Ground,Description not available yet
pupitar,Rock,Ground,Description not available yet
tyranitar,Rock,Dark,Description not available yet
lugia,Psychic,Flying,Description not available yet
ho-oh,Fire,Flying,Description not available yet
celebi,Psychic,Grass,Description not available yet
treecko,Grass,,Description not available yet
grovyle,Grass,,Description not available yet
sceptile,Grass,,Description not available yet
torchic,Fire,,Description not available yet
combusken,Fire,Fighting,Description not available yet
blaziken,Fire,Fighting,Description not available yet
mudkip,Water,,Description not available yet
marshtomp,Water,Ground,Description not available yet
swampert,Water,Ground,Description not available yet
poochyena,Dark,,Description not available yet
mightyena,Dark,,Description not available yet
zigzagoon,Normal,,Description not available yet
linoone,Normal,,Description not available yet
wurmple,Bug,,Description not available yet
silcoon,Bug,,Description not available yet
beautifly,Bug,Flying,Description not available yet
cascoon,Bug,,Description not available yet
dustox,Bug,Poison,Description not available yet
lotad,Water,Grass,Description not available yet
lombre,Water,Grass,Description not available yet
ludicolo,Water,Grass,Description not available yet
seedot,Grass,,Description not available yet
nuzleaf,Grass,Dark,Description not available yet
shiftry,Grass,Dark,Description not available yet
taillow,Normal,Flying,Description not available yet
swellow,Normal,Flying,Description not available yet
wingull,Water,Flying,Description not available yet
pelipper,Water,Flying,Description not available yet
ralts,Psychic,Fairy,Description not available yet
kirlia,Psychic,Fairy,Description not available yet
gardevoir,Psychic,Fairy,Description not available yet
surskit,Bug,Water,Description not available yet
masquerain,Bug,Flying,Description not available yet
shroomish,Grass,,Description not available yet
breloom,Grass,Fighting,Description not available yet
slakoth,Normal,,Description not available yet
vigoroth,Normal,,Description not available yet
slaking,Normal,,Description not available yet
nincada,Bug,Ground,Description not available yet
ninjask,Bug,Flying,Description not available yet
shedinja,Bug,Ghost,Description not available yet
whismur,Normal,,Description not available yet
loudred,Normal,,Description not available yet
exploud,Normal,,Description not available yet
makuhita,Fighting,,Description not available yet
hariyama,Fighting,,Description not available yet
azurill,Normal,Fairy,Description not available yet
nosepass,Rock,,Description not available yet
skitty,Normal,,Description not available yet
delcatty,Normal,,Description not available yet
